document_id,clean_text,label
Doc_1,era burgeoning electric vehicle ev popularity understanding pattern ev user behavior imperative paper examines trend household charging session timing duration energy consumption analyzing real world residential charging data leveraging information collected session novel framework introduced efficient real time prediction important charging characteristic utilizing historical data user specific feature machine learning model trained predict connection duration charging duration charging demand time next session model enhance understanding ev user behavior provide practical tool optimizing ev charging infrastructure effectively managing charging demand transportation sector becomes increasingly electrified work aim empower stakeholder insight reliable model enabling anticipate localized demand contribute sustainable integration electric vehicle grid,Machine Learning
Doc_2,background meditation apps surged popularity recent year increasing number individual turning apps cope stress including covid pandemic meditation apps commonly used mental health apps depression anxiety however little known well suited apps objective study aimed develop test data driven algorithm predict individual likely benefit app based meditation training method using randomized controlled trial data comparing week meditation app healthy mind program hmp assessment control condition school system employee n developed algorithm predict likely benefit hmp baseline clinical demographic characteristic submitted machine learning model develop personalized advantage index pai reflecting individual expected reduction distress primary outcome hmp versus control result significant group pai interaction emerged p indicating pai score moderated group difference outcome regression model included repetitive negative thinking sole baseline predictor performed comparably well finally demonstrate translation predictive model personalized recommendation expected benefit conclusion overall result revealed potential data driven algorithm inform individual likely benefit meditation app algorithm could used objectively communicate expected benefit individual allowing make informed decision whether meditation app appropriate trial registration clinicaltrials gov nct http clinicaltrials gov ct show nct,Machine Learning
Doc_3,background human must able cope huge amount information produced information technology revolution result automatic text summarization employed range industry assist individual identifying important information text summarization two approach mainly considered text summarization extractive abstractive method extractive summarisation approach selects chunk sentence like source document abstractive approach generate summary based mined keywords low resourced language e g urdu extractive summarization us various model algorithm however study abstractive summarization urdu still challenging task many literary work urdu producing abstractive summary demand extensive research methodology article proposed deep learning model urdu language using urdu million news dataset compared performance two widely used method based machine learning support vector machine svm logistic regression lr result show suggested deep learning model performs better two approach summary produced extractive summary processed using encoder decoder paradigm create abstractive summary result help urdu language specialist system generated summary validated showing proposed model improvement accuracy,Machine Learning
Doc_4,growing number cloud based service led rising threat distributed denial service ddos attack attack cause significant harm business organization overwhelming network resource resulting unavailability critical service traditional defense mechanism firewall system becoming insufficient cope scale complexity ddos attack research propose new machine learning approach based ensemble learning detect ddos attack cloud environment proposed method utilizes various feature extracted network traffic train machine learning algorithm proposed solution expected effective detecting ddos attack real time high accuracy,Machine Learning
Doc_5,diffusion generative model class machine learning technique shown remarkable promise material science chemistry enabling precise generation complex molecular structure article propose novel application diffusion generative model stabilizing reactive molecular structure identified quantum mechanical screening specifically focus design challenge presented singlet fission sf phenomenon crucial advancing solar cell efficiency beyond theoretical limit theoretical chemistry successful predicting intermolecular arrangement enhanced sf coupling practical implementation configuration face challenge due discrepancy favorable stabilized structure address gap introduce three step strategy combining quantum mechanical screening identifying optimal molecular arrangement diffusion generative model predicting stabilizing linkers case study cibalackrot dimer promising sf material demonstrate efficacy approach enhancing sf efficiency stabilizing desired molecular arrangement,Machine Learning
Doc_6,traditional machine learning model cannot effectively identify new network traffic data set resulting model failure therefore paper analyzing problem current network intrusion detection nid combining application transfer theory detection model nid model based transfer component analysis tca proposed among specific mathematical derivation algorithm detection process transfer model introduced detail classification performance knn svm based tca algorithm network abnormal traffic compared result show tca algorithm proposed paper effectively improve accuracy nid meaningful expand application scope network abnormal traffic detection scheme based machine learning,Machine Learning
Doc_7,tropical subtropical area malaria stand profound public health challenge causing estimated million case worldwide annually given absence viable vaccine timely effective treatment malaria remains critical priority however growing resistance parasite currently utilized drug underscore critical need identification new antimalarial therapy aimed identify potential new drug candidate plasmodium falciparum main causative agent malaria analyzing transcriptomes different life stage parasite identifying highly expressed gene searched gene expressed stage parasite life cycle including asexual blood stage gametocyte stage liver stage sexual stage insect vector using transcriptomics data publicly available database analysis found overlapping gene including essential one searching drug target database discovered potential drug target associated bioactive compound sought expand analysis similar compound known drug found list similar compound predicted active inactives using previously developed machine learning model five life stage plasmodium spp analysis two compound selected reaction experimentally evaluated compound hsp silvestrol aglycone showed potent inhibitory activity nanomolar concentration p falciparum strain asexual blood stage moreover silvestrol aglycone exhibited low cytotoxicity mammalian cell transmission blocking potential inhibitory activity comparable established antimalarial finding warrant investigation silvestrol aglycone potential dual acting antimalarial transmission blocking candidate malaria control,Machine Learning
Doc_8,artificial intelligence ai evolved computational tool transformative force reshaping every branch engineering review paper explores depth breadth ai integration across major engineering discipline including mechanical electrical electronics computer science civil chemical aerospace biomedical industrial engineering analysing recent advance machine learning deep learning computer vision natural language processing intelligent automation paper highlight ai enhances design optimization predictive maintenance smart manufacturing structural health monitoring energy management autonomous system process control human machine collaboration study also examines domain specific application digital twin industry ai driven material discovery intelligent transportation personalized healthcare system sustainable infrastructure development furthermore paper discusses emerging challenge involving data quality interoperability ethic need interdisciplinary skill development comprehensive review demonstrates ai merely add technology foundational enabler driving innovation efficiency intelligent decision making across engineering field shaping future global technological advancement,Machine Learning
Doc_9,recognition student behaviour class based video significant impact teacher quality student attention previously student behaviour recognition focused single student low performance efficiency study proposes system detecting student behaviour attention classroom using computer vision machine learning technique us webcam capture video student analyse facial expression eye movement determine whether paying attention also detect emotion student final output proposed system detect different kind student behaviour classroom attention class drowsiness emotion student finally provide rating staff,Machine Learning
Doc_10,historically much machine learning research focused performance algorithm alone recently attention focused optimizing joint human algorithm performance analyze specific type human algorithm collaboration algorithm access set n item present subset size k human selects final item among k scenario could model content recommendation route planning type labeling task human algorithm imperfect noisy information true ordering item key question value k maximizes probability best item ultimately selected k performance optimized algorithm acting alone k n optimized human acting alone surprisingly show multiple noise model optimal set k n strict benefit collaborating even human algorithm equal accuracy separately demonstrate theoretically mallow model experimentally random utility model noisy permutation however show pattern reversed human anchored algorithm presented ordering joint system always strictly worse performance extend result case human algorithm differ accuracy level showing always exist regime accurate agent would strictly benefit collaborating less accurate one regime asymmetric human algorithm accuracy,Machine Learning
Doc_11,everywhere across globe bank increasingly viewing artificial intelligence revolutionary force likely transform fraud detection customer service automation targeted financial advisory service risk management operation even huge investment ai technology many banking organization face great challenge deploying machine learning system scale production environment main constraint often arises algorithmic constraint lack data science talent substandard technological infrastructure unable accommodate scale modern ai workload legacy banking platform built many year ago run batch processing architecture inherently incompatible real time data streaming demand necessary today machine learning use case mainframe environment using inflexible data schema cannot support heterogeneous unstructured data source required training advanced neural network limitation aging hardware constrain computation intricate algorithm enterprise level data fragmentation within departmental silo hinders accessibility undermining model precision predictive power infrastructure modernization unavoidable requirement effective implementation ai involving adoption cloud computing computational elasticity containerization technology standardized deployment across environment single unified data platform tying together dissimilar information source compliance aware architecture meeting stringent regulatory requirement banking organization required address systematic infrastructure constraint depth transformation program combining technical upgrade organizational change management skill development initiative cross functional collaboration model conscious infrastructure development financial service company release full transformative power artificial intelligence realize enduring competitive gain ever digital banking environment,Machine Learning
Doc_12,community practice operate developing sharing formalizing concept together collective meaning making thereby enabling community member work together effectively context wikipedia concept include article quality vandalism subjective aspect collective work ai machine learning proven powerful tool facilitating collaboration scale modeling applying shared concept examine meaning making parallel aligning ai behavior describe case study modeling quality article dutch wikipedia using ai model engaging meaning making process dutch wikipedians case blur line social governance meaning reshaped ai model based case study present collective meaning cycle framework describes bidirectional relationship modeling meaning making also provide implication practice participatory ai design,Machine Learning
Doc_13,use data driven automation new gain lot attention recently wide spread understanding solution problem term fair non bias classification different law area artificial intelligence became magic word however using historic data tricky job quite easily propagate discrimination efficient way thus work aimed analyse data legal proceeding looking evidence related occurrence bias judge decision making process considering mainly gender social condition convict supervised unsupervised machine learning technique preceded data analysis processing procedure used explain find explicit data behaviour result pointed fragility technique identify bias suggest need improve data pre processing search robust classification technique,Machine Learning
Doc_14,end world health organization referred public health commission hubei province china reported case severe unknown pneumonia new coronavirus sars cov identified responsible lung infection called covid coronavirus disease early diagnosis carrying virus becomes crucial contain spread morbidity mortality pandemic definitive diagnosis made specific test among imaging test play important role achieving goal cannot separated radiological examination chest x ray easily available least expensive alternative use x ray chest radiograph element assist diagnosis allows follow disease subject many publication adopt machine learning approach work focus adopted convolutional neural network technique applied chest x ray image,Machine Learning
Doc_15,last decade deep learning algorithm become popular thanks achieved performance many machine learning computer vision task however deep learning architecture vulnerable called adversarial example question security deep neural network dnn many security trust sensitive domain majority proposed existing adversarial attack based differentiability dnn cost function defence strategy mostly based machine learning signal processing principle either try detect reject filter adversarial perturbation completely neglect classical cryptographic component defence work propose new defence mechanism based second kerckhoffs cryptographic principle state defence classification algorithm supposed known key compliant assumption attacker access secret key primarily focus gray box scenario address white box one particularly assume attacker direct access secret block completely know system architecture b access data used training testing c observe output classifier given input show empirically system efficient famous state art attack black box gray box scenario,Machine Learning
Doc_16,biomaterials development creating material desirable property time consuming resource intensive process often relying serendipitous discovery potential route accelerate process employ artificial intelligence methodology machine learning ml herein possibility predict anti inflammatory property polymer using simplified model inflammation restrained dataset explored cellular assay different polymer conducted using murine macrophage cell line raw model experiment generate dataset used develop ml model based bayesian logistic regression conducting bayesian logistic regression analysis two ml model k nearest neighbor knn naïve bayes employed predict anti inflammatory polymer property study find probability polymer anti inflammatory property multiplied three polycation nitric oxide secretion good indicator determining anti inflammatory property polymer work defined tumor necrosis factor alpha expression decrease overall study suggests appropriate dataset design ml technique provide valuable information functional polymer property enabling faster efficient biomaterial development,Machine Learning
Doc_17,existem diversas problemáticas atualmente que influenciam dia dia ser humano dentro da sociedade principais e mais graf se referem mudanças climáticas e desastres naturais que fogem controle e acabam causando danos que demoram um longo período para se normalizar problema de queimadas brasil é recorrente devido à localização geográfica país porém em cenário se agravou e foram queimados mais de milhões de hectare milhões de hectare mais que fazendo com que sociedade voltasse suas atenções para este problema gerando discussões em prol de melhorias através da tecnologia é possível prever e reduzir um possível agravamento de situações que podem ter um potencial muito grande de devastação e com este trabalho além de discutir problema será possível visualizar uso de inteligência artificial voltado para este cenário tão importante país através aprendizado de máquina é possível identificar focos de queimadas em fotos fazendo com que monitoramento seja aprimorado e que ocorra alarmes para uma situação que pode ser evitada ao final trabalho leitor estará por dentro cenário atual de queimadas país e também entenderá diferentes formas de se aplicar aprendizado de máquina especialmente cenário de identificação de imagens utilizando yolo,Artificial Intelligence
Doc_18,nowadays many platform provide open educational resource learner must browse explore several suggested content better assimilate course facilitate selecting task resource present paper proposes intelligent tutoring system access teaching content available web automatically offer learner additional information source author highlight description logic approach knowledge representation strength underwrites modulization inference querying web ontology language enhanced traditional tutoring system architecture using ontology description logic enable access various data source web finally article concludes combination machine learning semantic web provided supportive study environment enhanced schooling condition within open distance learning,Machine Learning
